Epoch 221, RMSE: 0.6070114532488818, R^2: 0.6315, MSE: 0.3684629043753194
Epoch 222, RMSE: 0.6069499752442089, R^2: 0.6316, MSE: 0.3683882724489458
Epoch 223, RMSE: 0.6068889727176653, R^2: 0.6317, MSE: 0.36831422520630314
Epoch 224, RMSE: 0.6068284394297174, R^2: 0.6318, MSE: 0.36824075490070624
Epoch 225, RMSE: 0.6067683692713066, R^2: 0.6318, MSE: 0.3681678539481607
Epoch 226, RMSE: 0.6067087562602808, R^2: 0.6319, MSE: 0.36809551492289677
Epoch 227, RMSE: 0.606649594537937, R^2: 0.6320, MSE: 0.3680237305530434
Epoch 228, RMSE: 0.6065908783656732, R^2: 0.6320, MSE: 0.3679524937164389
Epoch 229, RMSE: 0.6065326021217435, R^2: 0.6321, MSE: 0.3678817974365733
Epoch 230, RMSE: 0.6064747602981159, R^2: 0.6322, MSE: 0.36781163487865715
Epoch 231, RMSE: 0.6064173474974259, R^2: 0.6323, MSE: 0.36774199934581386
Epoch 232, RMSE: 0.6063603584300263, R^2: 0.6323, MSE: 0.36767288427539
Epoch 233, RMSE: 0.6063037879111264, R^2: 0.6324, MSE: 0.36760428323538014
Epoch 234, RMSE: 0.6062476308580209, R^2: 0.6325, MSE: 0.36753618992096315
Epoch 235, RMSE: 0.6061918822874027, R^2: 0.6325, MSE: 0.3674685981511443
Epoch 236, RMSE: 0.6061365373127586, R^2: 0.6326, MSE: 0.36740150186550125
Epoch 237, RMSE: 0.6060815911418452, R^2: 0.6327, MSE: 0.36733489512103085
Epoch 238, RMSE: 0.60602703907424, R^2: 0.6327, MSE: 0.3672687720890904
Epoch 239, RMSE: 0.6059728764989685, R^2: 0.6328, MSE: 0.36720312705243413
Epoch 240, RMSE: 0.6059190988922027, R^2: 0.6329, MSE: 0.36713795440233893
Epoch 241, RMSE: 0.6058657018150291, R^2: 0.6329, MSE: 0.36707324863581775
Epoch 242, RMSE: 0.6058126809112834, R^2: 0.6330, MSE: 0.3670090043529165
Epoch 243, RMSE: 0.6057600319054514, R^2: 0.6331, MSE: 0.3669452162540935
Epoch 244, RMSE: 0.6057077506006314, R^2: 0.6331, MSE: 0.3668818791376768
Epoch 245, RMSE: 0.6056558328765591, R^2: 0.6332, MSE: 0.36681898789739853
Epoch 246, RMSE: 0.6056042746876894, R^2: 0.6332, MSE: 0.36675653752000237
Epoch 247, RMSE: 0.6055530720613366, R^2: 0.6333, MSE: 0.3666945230829222
Epoch 248, RMSE: 0.6055022210958688, R^2: 0.6334, MSE: 0.3666329397520304
Epoch 249, RMSE: 0.6054517179589567, R^2: 0.6334, MSE: 0.36657178277945207
Epoch 250, RMSE: 0.6054015588858722, R^2: 0.6335, MSE: 0.36651104750144414
Epoch 251, RMSE: 0.6053517401778381, R^2: 0.6335, MSE: 0.3664507293363368
Epoch 252, RMSE: 0.6053022582004262, R^2: 0.6336, MSE: 0.3663908237825354
Epoch 253, RMSE: 0.6052531093820009, R^2: 0.6337, MSE: 0.36633132641658045
Epoch 254, RMSE: 0.6052042902122096, R^2: 0.6337, MSE: 0.3662722328912644
Epoch 255, RMSE: 0.6051557972405152, R^2: 0.6338, MSE: 0.36621353893380343
Epoch 256, RMSE: 0.6051076270747718, R^2: 0.6338, MSE: 0.3661552403440611
Epoch 257, RMSE: 0.6050597763798422, R^2: 0.6339, MSE: 0.3660973329928247
Epoch 258, RMSE: 0.6050122418762532, R^2: 0.6340, MSE: 0.36603981282013
Epoch 259, RMSE: 0.6049650203388908, R^2: 0.6340, MSE: 0.3659826758336346
Epoch 260, RMSE: 0.6049181085957317, R^2: 0.6341, MSE: 0.3659259181070374
Epoch 261, RMSE: 0.6048715035266113, R^2: 0.6341, MSE: 0.3658695357785434
Epoch 262, RMSE: 0.6048252020620271, R^2: 0.6342, MSE: 0.3658135250493719
Epoch 263, RMSE: 0.6047792011819743, R^2: 0.6342, MSE: 0.3657578821823069
Epoch 264, RMSE: 0.6047334979148155, R^2: 0.6343, MSE: 0.36570260350028816
Epoch 265, RMSE: 0.6046880893361815, R^2: 0.6344, MSE: 0.36564768538504183
Epoch 266, RMSE: 0.6046429725679031, R^2: 0.6344, MSE: 0.36559312427575
Epoch 267, RMSE: 0.604598144776972, R^2: 0.6345, MSE: 0.36553891666775645
Epoch 268, RMSE: 0.6045536031745314, R^2: 0.6345, MSE: 0.36548505911130885
Epoch 269, RMSE: 0.6045093450148936, R^2: 0.6346, MSE: 0.36543154821033563
